Wind_power_MW,Solar_power_kW,Consumption_MW
149.8846311,0,29.81
151.6124078,0,31.00
153.7721287,0,37.30
142.1096358,1945.1136,41.75
130.8790871,2261.376,42.88
119.2165942,2826.1632,44.20
107.1221571,3767.5008,41.90
95.02772001,2440.0128,41.95
82.93328292,1073.5104,40.77
92.00411073,670.0032,42.78
101.0749386,492.1344,40.14
110.1457664,0,41.11
113.6013198,0,41.51
117.4888175,0,44.59
120.9443709,0,48.16
124.8318686,0,46.30
128.287422,0,45.52
132.1749196,0,41.02
134.7665847,0,38.72
136.9263056,0,35.24
139.5179707,0,30.93
136.0624173,0,30.30
132.6068638,0,30.20
129.1513104,0,28.78
126.1277011,0,28.88
123.1040918,0,32.11
119.6485384,0,31.82
101.9388269,820.1472,38.62
84.22911546,157.1328,39.35
66.519404,2105.7792,40.72
75.59023182,428.6208,42.88
84.66105964,300.0576,43.51
93.73188746,1682.3808,43.86
76.45412019,192.9216,43.02
59.17635291,64.2816,42.49
42.33052982,0,42.97
41.46664146,0,40.58
40.60275309,0,44.59
39.73886473,0,47.48
56.58468782,0,45.96
73.8624551,0,44.35
90.70827819,0,42.83
84.66105964,0,36.71
79.04578528,0,34.12
73.43051091,0,31.37
63.06385055,0,29.00
52.69719019,0,30.30
42.33052982,0,28.14
48.37774837,0,28.29
54.42496691,0,30.20
60.90412964,0,31.96
75.59023182,832.8192,34.31
90.27633401,778.5984,36.37
104.9624362,4046.592,39.55
91.57216655,5651.4816,40.72
78.6138411,5105.28,42.49
65.65551564,3599.4624,43.27
56.58468782,3217.6128,39.25
47.94580419,975.2832,37.54
39.30692055,0,40.04
63.06385055,0,39.01
86.82078055,0,45.47
111.0096547,0,44.35
114.4652082,0,47.14
117.9207616,0,41.70
121.3763151,0,40.23
123.9679802,0,36.46
126.5596453,0,33.04
129.1513104,0,30.59
127.8554778,0,28.44
126.1277011,0,29.51
124.3999244,0,28.19
120.9443709,0,29.71
117.0568733,0,31.00
113.1693756,0,39.40
95.45966419,1481.088,46.30
77.31800855,3856.896,44.10
59.6082971,5392.5888,43.71
44.05830655,6233.2416,46.06
28.508316,5692.4928,44.64
12.95832546,5105.1264,43.02
21.16526491,3606.6048,40.33
29.37220437,396.3648,41.21
37.57914382,0,37.84
54.85691109,0,41.41
72.13467837,0,44.98
89.41244564,0,46.21
93.73188746,0,46.69
97.6193851,0,45.42
101.9388269,0,41.07
101.0749386,0,36.86
100.2110502,0,31.82
99.34716183,0,29.76
101.0749386,0,29.47
102.8027153,0,30.69
104.0985478,0,28.14
96.75549673,0,29.00
89.41244564,0,32.50
82.06939455,0,38.86
71.70273419,328.6272,42.97
61.768018,656.64,46.89
51.40135764,1013.9136,46.35
53.56107855,2020.608,44.35
56.15274364,2000.256,43.42
58.31246455,1280.4096,39.30
61.33607382,844.6464,40.14
64.3596831,443.5968,40.09
67.38329237,0,40.28
77.31800855,0,41.36
87.25272473,0,44.00
97.18744092,0,44.74
101.9388269,0,47.38
106.6902129,0,43.17
111.4415989,0,39.84
113.6013198,0,37.30
115.3290966,0,34.02
117.4888175,0,29.81
118.78465,0,28.00
120.0804826,0,30.30
121.3763151,0,29.22
121.8082593,0,29.27
121.8082593,0,30.84
122.2402035,0,40.63
106.2582687,2410.1376,44.74
89.84438982,4193.28,45.76
73.8624551,5496.4224,46.40
63.92773891,6054.8352,43.51
53.99302273,5907.6096,41.56
44.05830655,5267.6352,41.90
49.24163673,3788.8512,38.72
53.99302273,1516.7232,40.23
59.17635291,0,40.48
